,,,Duke,,,,,,,,,,,,,,,,,,,,,,Baylor,,,,,,,,,,,,,,,,,,,,,
,,,Arizona,,,,,,,,,,,,,,,,,,,,,,Oregon,,,,,,,,,,,,,,,,,,,,,
,,,Wisconsin,,,,,,,,,,,,,,,,,,,,,,BYU,,,,,,,,,,,,,,,,,,,,,
,,,Alabama,,,,,,,,,,,,,,,,,,,,,,Saint Mary's,,,,,,,,,,,,,,,,,,,,,
,,,Houston,,,,,,,,,,,,,,,,,,,,,,SIU Edwardsville,,,,,,,,,,,,,,,,,,,,,
,,,Gonzaga,,,,,,,,,,,,,,,,,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,
,,,Clemson,,,,,,,,,,,,,,,,,,,,,,McNeese St.,,,,,,,,,,,,,,,,,,,,,
,,,Purdue,,,,,,,,,,,,,,,,,,,,,,High Point,,,,,,,,,,,,,,,,,,,,,
,,,Illinois,,,,,,,,,,,,,,,,,,,,,,Xavier,,,,,,,,,,,,,,,,,,,,,
,,,Kentucky,,,,,,,,,,,,,,,,,,,,,,Troy,,,,,,,,,,,,,,,,,,,,,
,,,UCLA,,,,,,,,,,,,,,,,,,,,,,Utah St.,,,,,,,,,,,,,,,,,,,,,
,,,Tennessee,,,,,,,,,,,,,,,,,,,,,,Wofford,,,,,,,,,,,,,,,,,,,,,
,,,Houston,,,,,,,,,,,,,,,,,,,,,,Gonzaga,,,,,,,,,,,,,,,,,,,,,
,,,Purdue,,,,,,,,,,,,,,,,,,,,,,McNeese St.,,,,,,,,,,,,,,,,,,,,,
,,,Kentucky,,,,,,,,,,,,,,,,,,,,,,Illinois,,,,,,,,,,,,,,,,,,,,,
,,,Tennessee,,,,,,,,,,,,,,,,,,,,,,UCLA,,,,,,,,,,,,,,,,,,,,,
,,,Tennessee,,,,,,,,,,,,,,,,,,,,,,Kentucky,,,,,,,,,,,,,,,,,,,,,
,,,Houston,,,,,,,,,,,,,,,,,,,,,,Purdue,,,,,,,,,,,,,,,,,,,,,
,,,Florida,,,,,,,,,,,,,,,,,,,,,,Maryland,,,,,,,,,,,,,,,,,,,,,
,,,Texas Tech,,,,,,,,,,,,,,,,,,,,,,Arkansas,,,,,,,,,,,,,,,,,,,,,
,,,Houston,,,,,,,,,,,,,,,,,,,,,,Tennessee,,,,,,,,,,,,,,,,,,,,,
,,,Florida,,,,,,,,,,,,,,,,,,,,,,Texas Tech,,,,,,,,,,,,,,,,,,,,,
,,,Duke,,,,,,,,,,,,,,,,,,,,,,Arizona,,,,,,,,,,,,,,,,,,,,,
,,,BYU,,,,,,,,,,,,,,,,,,,,,,Alabama,,,,,,,,,,,,,,,,,,,,,
,,,Auburn,,,,,,,,,,,,,,,,,,,,,,Michigan,,,,,,,,,,,,,,,,,,,,,
,,,Michigan St.,,,,,,,,,,,,,,,,,,,,,,Mississippi,,,,,,,,,,,,,,,,,,,,,
,,,Auburn,,,,,,,,,,,,,,,,,,,,,,Michigan St.,,,,,,,,,,,,,,,,,,,,,
,,,Duke,,,,,,,,,,,,,,,,,,,,,,Alabama,,,,,,,,,,,,,,,,,,,,,
,,,Auburn,,,,,,,,,,,,,,,,,,,,,,Florida,,,,,,,,,,,,,,,,,,,,,
,,,Duke,,,,,,,,,,,,,,,,,,,,,,Houston,,,,,,,,,,,,,,,,,,,,,
,,,Florida,,,,,,,,,,,,,,,,,,,,,,Houston,,,,,,,,,,,,,,,,,,,,,
